         236439 function calls (236134 primitive calls) in 3.799 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    2.375    0.008    2.821    0.009 graphconv.py:337(forward)
      100    0.873    0.009    0.873    0.009 {method 'run_backward' of 'torch._C._EngineBase' objects}
      600    0.048    0.000    0.048    0.000 {method 'item' of 'torch._C._TensorBase' objects}
      900    0.027    0.000    0.027    0.000 {built-in method arange}
      300    0.025    0.000    0.025    0.000 {built-in method matmul}
     1200    0.015    0.000    0.015    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      600    0.015    0.000    0.015    0.000 {built-in method pow}
      600    0.015    0.000    0.037    0.000 heterograph_index.py:560(in_degrees)
      300    0.015    0.000    0.015    0.000 {built-in method min}
      600    0.014    0.000    0.014    0.000 {method 'float' of 'torch._C._TensorBase' objects}
      300    0.013    0.000    0.031    0.000 sparse.py:77(_gspmm)
      600    0.013    0.000    0.013    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
     1200    0.013    0.000    0.013    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
      100    0.013    0.000    0.064    0.001 _functional.py:53(adam)
      500    0.012    0.000    0.012    0.000 {built-in method zeros}
      300    0.012    0.000    0.012    0.000 {built-in method sum}
     3000    0.011    0.000    0.011    0.000 tensor.py:94(to_backend_ctx)
     1200    0.010    0.000    0.012    0.000 {built-in method torch._C._from_dlpack}
     2700    0.010    0.000    0.010    0.000 heterograph_index.py:160(dtype)
      300    0.009    0.000    0.009    0.000 {method 'any' of 'torch._C._TensorBase' objects}
      300    0.009    0.000    0.009    0.000 {method 'type' of 'torch._C._TensorBase' objects}
     3600    0.009    0.000    0.021    0.000 ndarray.py:174(shape)
     7200    0.009    0.000    0.009    0.000 __init__.py:506(cast)
      600    0.009    0.000    0.009    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
      300    0.008    0.000    0.022    0.000 heterograph_index.py:315(has_nodes)
      300    0.008    0.000    0.017    0.000 heterograph_index.py:580(out_degrees)
      600    0.007    0.000    0.007    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
      600    0.007    0.000    0.007    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
      594    0.006    0.000    0.006    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
     3300    0.005    0.000    0.007    0.000 heterograph_index.py:62(metagraph)
      200    0.005    0.000    0.005    0.000 {built-in method relu}
      300    0.004    0.000    0.174    0.001 heterograph.py:3510(out_degrees)
      300    0.004    0.000    0.039    0.000 {built-in method apply}
     1500    0.004    0.000    0.021    0.000 checks.py:9(prepare_tensor)
  400/100    0.004    0.000    2.828    0.028 module.py:866(_call_impl)
     3000    0.004    0.000    0.006    0.000 heterograph_index.py:171(ctx)
      600    0.004    0.000    0.004    0.000 {built-in method reshape}
     1200    0.004    0.000    0.039    0.000 tensor.py:339(zerocopy_from_dgl_ndarray)
      100    0.003    0.000    0.003    0.000 {built-in method torch._C._nn.nll_loss}
