         238018 function calls (236491 primitive calls) in 15.740 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6000    4.988    0.001    4.988    0.001 {method 'item' of 'torch._C._TensorBase' objects}
     1200    2.505    0.002    2.505    0.002 {method 'reduce' of 'numpy.ufunc' objects}
      900    1.856    0.002    1.856    0.002 {method 'cpu' of 'torch._C._TensorBase' objects}
      300    1.579    0.005    1.580    0.005 heterograph_index.py:220(copy_to)
      100    1.176    0.012    1.176    0.012 {method 'run_backward' of 'torch._C._EngineBase' objects}
      600    0.993    0.002    0.993    0.002 {built-in method as_tensor}
     1800    0.879    0.000    0.879    0.000 {built-in method numpy.array}
      300    0.483    0.002    1.218    0.004 diag.py:35(set_diag)
      300    0.278    0.001    0.497    0.002 diag.py:9(remove_diag)
     6000    0.165    0.000    0.165    0.000 {method 'max' of 'torch._C._TensorBase' objects}
      300    0.096    0.000    0.135    0.000 sparse.py:77(_gspmm)
      300    0.085    0.000    0.085    0.000 {built-in method torch._ops.torch_scatter.gather_csr}
     3000    0.039    0.000    5.204    0.002 storage.py:33(__init__)
      300    0.039    0.000   14.425    0.048 gcn_conv.py:152(forward)
     1800    0.026    0.000    0.026    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      500    0.026    0.000    0.026    0.000 {built-in method zeros}
     1500    0.021    0.000    0.021    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
      300    0.019    0.000    0.036    0.000 heterograph_index.py:1073(create_unitgraph_from_coo)
      300    0.017    0.000    6.226    0.021 gcn_conv.py:30(gcn_norm)
      300    0.016    0.000    2.533    0.008 coo.py:265(_check)
      300    0.014    0.000    0.014    0.000 {built-in method torch._ops.torch_sparse.non_diag_mask}
      100    0.014    0.000    0.066    0.001 _functional.py:53(adam)
      300    0.013    0.000    0.013    0.000 {built-in method torch._ops.torch_scatter.segment_sum_csr}
      600    0.012    0.000    0.557    0.001 mul.py:8(mul)
  700/100    0.010    0.000   14.461    0.145 module.py:866(_call_impl)
      300    0.009    0.000    0.009    0.000 {method 'new_full' of 'torch._C._TensorBase' objects}
      300    0.009    0.000    0.150    0.000 {built-in method apply}
      300    0.009    0.000    0.009    0.000 {method 'pow_' of 'torch._C._TensorBase' objects}
      300    0.009    0.000    8.146    0.027 matmul.py:125(matmul)
      300    0.009    0.000    0.009    0.000 {built-in method full}
    12500    0.008    0.000    0.008    0.000 {method 'size' of 'torch._C._TensorBase' objects}
      200    0.008    0.000    0.008    0.000 {built-in method relu_}
 1200/300    0.008    0.000    0.009    0.000 object_generic.py:22(convert_to_object)
      600    0.008    0.000    0.008    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
      600    0.007    0.000    0.007    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
      300    0.007    0.000    0.007    0.000 {built-in method torch._ops.torch_sparse.ind2ptr}
      300    0.007    0.000    0.007    0.000 {method 'masked_fill_' of 'torch._C._TensorBase' objects}
      600    0.007    0.000    0.007    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
      300    0.006    0.000    5.308    0.018 tensor.py:558(to_scipy)
      300    0.006    0.000    0.006    0.000 {built-in method arange}
      594    0.006    0.000    0.006    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
      300    0.006    0.000    3.434    0.011 coo.py:126(__init__)
      900    0.006    0.000    0.006    0.000 {method 'new_empty' of 'torch._C._TensorBase' objects}
      900    0.006    0.000    4.515    0.005 storage.py:213(set_value)
     2400    0.006    0.000    0.009    0.000 tensor.py:212(sizes)
      100    0.005    0.000   14.459    0.145 sequential.py:99(forward)
     1200    0.005    0.000    0.005    0.000 getlimits.py:514(__init__)
    12300    0.005    0.000    0.005    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
      100    0.005    0.000    0.005    0.000 {method 'log_softmax' of 'torch._C._TensorBase' objects}
      300    0.005    0.000    1.609    0.005 heterograph.py:5345(to)
      300    0.005    0.000    0.005    0.000 tensor.py:84(device_type)
    14616    0.005    0.000    0.008    0.000 {built-in method builtins.isinstance}
      100    0.005    0.000    0.005    0.000 {built-in method torch._C._nn.nll_loss}
     1500    0.004    0.000    0.466    0.000 tensor.py:27(from_storage)
      300    0.004    0.000    0.004    0.000 tensor.py:94(to_backend_ctx)
      300    0.004    0.000    0.010    0.000 heterograph.py:86(_init)
      700    0.004    0.000    0.004    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
      300    0.004    0.000    1.004    0.003 data.py:34(scipy2tensor)
     1200    0.004    0.000    0.006    0.000 frame.py:300(__init__)
      300    0.004    0.000    0.140    0.000 sparse.py:120(forward)
      900    0.004    0.000    0.004    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
      300    0.004    0.000    2.672    0.009 convert.py:1000(from_scipy)
      900    0.004    0.000    0.004    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
      300    0.004    0.000    1.233    0.004 diag.py:82(fill_diag)
      100    0.003    0.000    0.003    0.000 {built-in method ones_like}
      300    0.003    0.000    0.003    0.000 heterograph_index.py:160(dtype)
