Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    aten::pow         7.66%       5.728ms        17.12%      12.807ms       2.134ms       6.703ms         9.25%      12.857ms       2.143ms           0 b           0 b      66.00 Kb           0 b             6  
                     aten::to         5.20%       3.888ms        14.75%      11.034ms     613.000us       6.103ms         8.42%      11.010ms     611.678us           0 b           0 b     139.50 Kb           0 b            18  
                  aten::clamp         6.57%       4.912ms        14.47%      10.825ms     902.058us       5.147ms         7.10%      10.752ms     896.000us           0 b           0 b     132.00 Kb           0 b            12  
                 aten::arange         6.21%       4.646ms        12.80%       9.575ms     531.967us       6.024ms         8.31%       9.620ms     534.431us           0 b           0 b     387.00 Kb           0 b            18  
                   aten::item         2.89%       2.158ms         8.82%       6.594ms     732.700us       2.197ms         3.03%       6.571ms     730.108us           0 b           0 b           0 b           0 b             9  
                  aten::copy_         7.31%       5.467ms         7.31%       5.467ms     455.617us       4.907ms         6.77%       4.907ms     408.934us           0 b           0 b           0 b           0 b            12  
                     aten::eq         4.07%       3.042ms         6.33%       4.732ms     788.683us       3.533ms         4.87%       4.745ms     790.812us           0 b           0 b      18.00 Kb           0 b             6  
            aten::result_type         6.12%       4.576ms         6.12%       4.576ms     381.325us       4.702ms         6.49%       4.702ms     391.801us           0 b           0 b           0 b           0 b            12  
    aten::_local_scalar_dense         5.93%       4.436ms         5.93%       4.436ms     492.900us       4.374ms         6.03%       4.374ms     486.018us           0 b           0 b           0 b           0 b             9  
                        GSpMM         2.02%       1.512ms         5.77%       4.314ms       1.438ms       1.617ms         2.23%       4.314ms       1.438ms           0 b           0 b       3.05 Mb           0 b             3  
