Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
              Optimizer.step#Adam.step         8.06%        1.224s        25.52%        3.872s      38.723ms        1.244s         8.31%        3.872s      38.718ms        -400 b      -1.95 Kb       2.87 Mb    -286.72 Mb           100  
                             aten::pow         3.53%     535.032ms         7.63%        1.159s       1.931ms     612.723ms         4.09%        1.157s       1.928ms           0 b           0 b       6.45 Mb           0 b           600  
                              aten::to         2.48%     376.324ms         6.66%        1.011s     481.476us     525.457ms         3.51%        1.006s     478.937us           0 b           0 b      13.62 Mb           0 b          2100  
                           aten::clamp         2.69%     408.234ms         6.42%     974.613ms     812.177us     410.545ms         2.74%     976.569ms     813.808us           0 b           0 b      12.89 Mb           0 b          1200  
                          aten::arange         2.81%     426.128ms         5.73%     868.922ms     482.734us     551.959ms         3.69%     883.735ms     490.964us           0 b           0 b      37.79 Mb           0 b          1800  
                                 GSpMM         1.85%     280.783ms         5.23%     793.230ms       1.322ms     299.257ms         2.00%     791.550ms       1.319ms           0 b           0 b     609.57 Mb           0 b           600  
                            aten::add_         5.23%     793.121ms         5.23%     793.121ms     442.096us     787.143ms         5.26%     787.143ms     438.764us           0 b           0 b           0 b           0 b          1794  
                         IndexBackward         0.20%      29.990ms         5.10%     774.595ms       7.746ms      28.737ms         0.19%     775.535ms       7.755ms           0 b           0 b       7.28 Mb           0 b           100  
                           aten::zero_         3.06%     464.700ms         5.02%     762.253ms     506.144us     464.099ms         3.10%     765.797ms     508.497us           0 b           0 b           0 b           0 b          1506  
